Position,TIME,TIME2,FL5-Height,FL5-Area,FL5-Width,FSC1-Height,FSC1-Area,FSC1-Width,SSC2-Height,SSC2-Area,SSC2-Width,FL14-Height,FL14-Area,FL14-Width,FL15-Height,FL15-Area,FL15-Width,FL28-Height,FL28-Area,FL28-Width,FL35-Height,FL35-Area,FL35-Width,FL36-Height,FL36-Area,FL36-Width,Sort Classifier
E 2,2035843880,0,4383764,2249312,251658240,1143414992,695540513,293601280,660018162,386091252,293601280,2654282,1704507,318767104,4361106,3472147,385875968,1641952,921241,788529152,644140,376409,411041792,3961522,2931153,394264576,337772543,
E 3,2082534518,0,1231070,1042448,503316480,776115442,804012211,570425344,717403258,526399423,369098752,49134006,41585329,444596224,21994148,18889199,444596224,1570532,1189003,461373440,800084,418561,612368384,6866690,5295151,327155712,338821119,
E 4,2126924815,0,1916330,1596635,1384120320,1571354082,1119748187,301989888,719159724,539366379,369098752,13915624,10261657,360710144,8287820,6306902,352321536,1031058,1182045,1098907648,1302688,573664,360710144,9214804,8432423,536870912,339869695,
E 5,26589988,1,2414950,1801344,385875968,1557964278,1159118007,318767104,648444498,509570011,394264576,1370120,1161411,436207616,8530792,7728071,360710144,8384798,6261576,293601280,7106036,5260839,419430400,2816224,2311964,536870912,340918271,
E 6,72127202,1,1833568,1669444,914358272,1325873482,1091357476,343932928,537790926,412523890,377487360,1395080,1169614,419430400,6838510,5597345,587202560,3471146,2915000,335544320,2702188,1543011,478150656,5422868,3758519,343932928,341966847,
E 7,122938068,1,2344634,1916556,452984832,1543776830,1263467154,352321536,782631846,593935769,377487360,1437022,1285108,528482304,48410480,53816119,553648128,67353332,73935215,545259520,2078158,1288164,276824064,3774728,2594156,377487360,343015423,
E 8,167378371,1,959462,785199,385875968,1586967104,1112923510,301989888,526360232,395588108,369098752,814616,650105,603979776,3401724,2774381,310378496,3426174,2588035,419430400,655552,416838,847249408,320738,163658,503316480,344063999,
E 9,216182937,1,1834430,1316087,713031680,1719869826,1245538443,293601280,1227847512,924190154,377487360,1759648,1197776,327155712,3874110,4281325,1392508928,2922594,2351897,654311424,2493430,1447397,578813952,3546904,2084238,310378496,345112575,
E 10,261321189,1,3276938,2355324,377487360,1489611290,1305126043,385875968,700502834,572228965,427819008,1302880,1286306,528482304,55939622,70405514,654311424,86668332,103641246,612368384,1640612,684344,167772160,539526,171515,159383552,346161151,
E 11,307481079,1,2324338,2189732,1199570944,1197302204,1078439757,419430400,738486518,586633088,394264576,4819468,3130145,301989888,3930830,3374624,385875968,2332138,2046898,729808896,15400926,16296708,536870912,7469688,6667209,503316480,347209727,
E 12,351319421,1,3624288,2481576,343932928,1672136086,1377882634,343932928,649806878,536628182,419430400,1253172,1151193,478150656,8429688,8112245,452984832,8852482,8323074,486539264,1115446,664352,427819008,1393916,1029384,570425344,348258303,
F 12,395561898,1,2996246,2368478,411041792,1292827492,1337011745,486539264,1177705348,874976524,352321536,1438902,1254627,469762048,37467284,37755817,494927872,51544804,52658856,511705088,969772,611276,494927872,314334,81035,243269632,415367167,
F 11,441703762,1,2384100,1783340,343932928,1564093596,1269132521,343932928,602370696,538980471,461373440,1624122,1320790,469762048,5610096,4869139,1115684864,4354278,3132379,360710144,16976044,17294022,528482304,5476992,4363401,394264576,414318591,
F 10,485237396,1,1802458,1620158,805306368,1100657496,1075329464,411041792,588767692,469613794,385875968,1611210,1397000,402653184,6191548,6178667,494927872,5162206,4607371,796917760,1179180,661286,327155712,1257300,753153,620756992,413270015,
F 9,534250510,1,1551840,1224068,394264576,1039788534,794715845,343932928,749948692,599056901,411041792,53549588,44872966,427819008,21435018,19613905,2139095039,989012,960660,1073741824,273696,148696,620756992,4188706,4305505,553648128,412221439,
F 8,577017318,1,1946734,1607855,679477248,1299029520,1177746187,402653184,866115466,721933620,427819008,1600946,1323888,427819008,6459526,5744070,1266679808,2255354,2483772,1283457024,7877192,6839267,511705088,1993798,2183470,687865856,411172863,
F 7,625671659,1,785636,729911,578813952,1196228384,1004419154,411041792,771663346,658662639,452984832,3618422,3056258,436207616,6319522,4370646,293601280,1287616,1274588,805306368,792826,281396,167772160,5169090,4935768,486539264,410124287,
F 6,672047126,1,1435246,1071494,310378496,1274711748,1031858389,377487360,820198300,679314521,419430400,102101562,81659974,411041792,39175488,32743643,427819008,1737250,1181922,276824064,413828,186566,268435456,3599496,3761498,1040187392,409075711,
F 5,737538510,1,1828792,1405821,947912704,1514113364,1294282583,327155712,792580108,537139852,335544320,1459566,1030549,377487360,33475128,32181249,520093696,43843308,44884277,503316480,255572,62202,260046848,112210,38960,0,408027135,
F 4,784232905,1,831870,827477,1283457024,943566862,834561082,461373440,643467174,476120803,377487360,26738950,20730291,394264576,14200596,10578110,335544320,1728978,1031746,838860800,268266,52274,260046848,1992004,1702341,469762048,406978559,
F 3,847298580,1,3600422,2772246,369098752,1416828966,1327180252,436207616,1158071116,831948244,360710144,2277010,1828058,452984832,36098686,35953879,494927872,42167544,48047526,562036736,1544026,1125025,738197504,1729522,1157250,813694976,405929983,
F 2,893926216,1,3138608,3114743,503316480,1600718584,1274838760,301989888,621422654,574585987,452984832,1918178,1580511,427819008,7612992,6300772,377487360,3042996,2354794,427819008,450394,204101,369098752,349100,269894,947912704,404881407,
F 1,943778501,1,4210312,3136916,318767104,1766911682,1452244107,318767104,1245218308,994718905,394264576,2699998,2621923,520093696,55322038,63793226,578813952,66086432,81965345,645922816,567722,132227,134217728,1833530,1275860,830472192,403832831,
G 1,984128942,1,2771888,2273372,436207616,1344382642,1170986861,394264576,623316092,515152027,427819008,1777132,1440058,385875968,7475082,5424379,872415232,3483078,1989603,301989888,2098606,1380518,645922816,853734,768057,754974720,470941695,
