Position,TIME,TIME2,FL5-Height,FL5-Area,FL5-Width,FSC1-Height,FSC1-Area,FSC1-Width,SSC2-Height,SSC2-Area,SSC2-Width,FL12-Height,FL12-Area,FL12-Width,FL36-Height,FL36-Area,FL36-Width,Sort Classifier
C 17,358898172,0,895012,593182,402653184,1978517018,2086691220,327155712,443575758,381448792,268435456,65316560,63713428,293601280,20042196,21387256,343932928,219283455,
C 18,395450215,0,919566,778586,494927872,1791015058,2138256018,419430400,482399032,453878261,293601280,63606166,70135930,352321536,23608134,26897790,377487360,220332031,
C 19,431582112,0,1107864,1499713,1358954496,1791246472,2119628198,394264576,581809540,530210535,285212672,72230574,81799874,360710144,15484468,16731267,369098752,221380607,
C 20,469024010,0,497548,582354,603979776,1916927126,108250369,394264576,579558378,507250865,276824064,53346120,55988858,335544320,34918854,33882657,301989888,222429183,
C 21,511362111,0,3030942,3301782,931135488,1925011790,20060408,369098752,812420012,698556330,268435456,46472066,50503100,352321536,15122312,15802018,318767104,223477759,
C 22,549104789,0,1253234,1674433,1392508928,1776250662,2079170592,411041792,641928996,593368475,293601280,57909038,55254177,285212672,12326432,14012012,402653184,224526335,
C 23,598228323,0,773734,1222305,1166016512,1680757520,2042151288,402653184,643968768,566514115,276824064,76404280,76982185,327155712,38878448,42292262,343932928,225574911,
C 24,637280029,0,1870738,2451299,847249408,1637715346,2016805103,427819008,570738084,522896987,285212672,69217106,72639062,335544320,27700042,27299073,327155712,226623487,
D 24,671165847,0,1448334,2627867,1551892480,1477554814,1991943829,520093696,640502198,599591862,293601280,61196846,62092056,301989888,33608818,30279121,268435456,293732351,
D 23,710000290,0,1368828,1691148,1291845632,2059880894,2019082579,243269632,402658144,365522734,276824064,55472510,53471436,293601280,31521758,26635490,268435456,292683775,
D 22,749138672,0,559558,653158,822083584,1650276694,2109490518,444596224,474412134,445448540,293601280,63353464,64825993,310378496,21687898,23133128,360710144,291635199,
D 21,788023550,0,1248974,1121194,704643072,1700252308,1986538323,419430400,580275840,532050023,285212672,60207734,67603394,369098752,20215690,22113431,360710144,290586623,
D 20,824867467,0,1011222,810267,528482304,1096079,55106458,276824064,487726902,427856621,276824064,56945102,62959493,369098752,23965646,25977114,360710144,289538047,
D 19,864025591,0,1091950,2799533,1568669696,131462733,211824556,327155712,362002906,319060927,276824064,50575962,53748871,343932928,18090060,17941220,335544320,288489471,
D 18,911171982,0,1135380,1044475,411041792,1606782268,2068674587,436207616,456672184,410905355,276824064,45225792,42005788,293601280,28050140,26631139,285212672,287440895,
D 17,947179462,0,1043990,633067,201326592,1611329136,2033599282,452984832,536310668,467932529,268435456,50617986,50852907,310378496,34195610,29619071,268435456,286392319,
